name,town_village,parish,lon,lat,status,classification,id
All Saints,Crofts Hill,Clarendon,-77.20749,18.1361,Active,Church,all-saints-clarendon
All Saints',Richmond Park,Clarendon,-77.29,17.97,Active,Chapel / Church,all-saints-clarendon-2
Holy Trinity,Park Hall,Clarendon,-77.24,18.15,Active,Chapel / Church,holy-trinity-clarendon
St. Augustine's Church,Porous,Clarendon,-77.23,17.97,Active,Church,st-augustine-s-church-clarendon
St. Bartholomew's,Frankfield,Clarendon,-77.39,18.17,Active,Chapel / Church,st-bartholomew-s-clarendon
St. Benedict's Mission,Milk River,Clarendon,-77.35,17.87,Active,Mission Station,st-benedict-s-mission-clarendon
St. Gabriel's,May Pen,Clarendon,-77.24,17.97,Active,Parish Church (Church),st-gabriel-s-clarendon
St. Gregory's,Red Hills (Clarendon),Clarendon,-77.21,18.04,Active,Chapel / Church,st-gregory-s-clarendon
St. James',Hayes,Clarendon,-77.3,17.9,Active,Chapel / Church,st-james-clarendon
St. John's,Palmers Cross,Clarendon,-77.2,17.93,Active,Chapel / Church,st-john-s-clarendon
St. John's Church,Frankfield,Clarendon,-77.14,18.08,Active,Church,st-john-s-church-clarendon
St. Luke's,Sanguinetti,Clarendon,-77.43,18.2,Active,Chapel / Church,st-luke-s-clarendon
St. Luke's Church,Chapelton,Clarendon,-77.24,17.96,Active,Church,st-luke-s-church-clarendon
St. Mark's,Beckford Kraal,Clarendon,-77.32,18.05,Active,Chapel / Church,st-mark-s-clarendon
St. Mary's Church,Kellits,Clarendon,-77.26,18.16,Active,Church,st-mary-s-church-clarendon
St. Matthew's,Aenon Town,Clarendon,-77.37,18.17,Active,Chapel / Church,st-matthew-s-clarendon
St. Paul's,Mocho,Clarendon,-77.38,18.02,Active,Chapel / Church,st-paul-s-clarendon
St. Paul's Church,May Pen,Clarendon,-77.25,17.96,Active,Church,st-paul-s-church-clarendon
St. Peter's,Alley,Clarendon,-77.28,17.85,Active,Chapel / Church,st-peter-s-clarendon
St. Peter's Church,Alley,Clarendon,-77.24,17.96,Active,Church,st-peter-s-church-clarendon
St. Saviour's,Milk River,Clarendon,-77.33488,17.8782,Closed,Chapel / Church,st-saviour-s-clarendon
St. Stephen's Church,Rock River,Clarendon,-77.18,18.08,Active,Church,st-stephen-s-church-clarendon
St. Thomas',Race Course,Clarendon,-77.26,17.87,Active,Chapel / Church,st-thomas-clarendon
Hanover Parish Church,Lucea,Hanover,-78.17051,18.44964,Active,Parish Church (Church),hanover-parish-church-hanover
St. Mark's,Hopewell,Hanover,-78.03,18.44,Ruin?,Chapel / Church,st-mark-s-hanover
Allman Town,Allman Town,Kingston,-76.78,17.98,Unknown,Church,allman-town-kingston
Kingston Parish Church (St. Thomas the Apostle),Kingston (Parade/King St),Kingston,-76.79,17.97,Active,Church,kingston-parish-church-st-thomas-the-apostle-kingston
St. Alban's,Kingston,Kingston,-76.79,17.97,Unknown,Mission Station,st-alban-s-kingston
St. George's Church,1 West Street,Kingston,-76.79,17.98,Active,Parish Church,st-george-s-church-kingston
St. Michael's,Kingston (Allman Town),Kingston,-76.78,17.97,Unknown,Church,st-michael-s-kingston
St. Michael's Church,Hannah Town,Kingston,-76.8,17.98,Active,Church,st-michael-s-church-kingston
St. Peter's Church (Old),Port Royal,Kingston,-76.84,17.94,Ruin,Church,st-peter-s-church-old-kingston
West Branch,Kingston,Kingston,-76.79,17.97,Unknown,Mission Station,west-branch-kingston
Christ Church,Christiana,Manchester,-77.53,18.17,Active,Chapel / Church,christ-church-manchester
St. Augustine's,Porus,Manchester,-77.41,17.99,Active,Chapel / Church,st-augustine-s-manchester
St. Barnabas',Mile Gully,Manchester,-77.62,18.12,Active,Chapel / Church,st-barnabas-manchester
St. David's,Snowdon,Manchester,-77.49,18.08,Active,Chapel / Church,st-david-s-manchester
St. Gabriel's Church,Christiana,Manchester,-77.49,18.18,Active,Church,st-gabriel-s-church-manchester
St. George's Church Ruins,Auchtembeddie,Manchester,-76.37,18.04,Ruin,Church,st-george-s-church-ruins-manchester
St. James',Kendal,Manchester,-77.55,17.97,Active,Chapel / Church,st-james-manchester
St. John the Baptist's,Coleyville,Manchester,-77.56,18.16,Active,Chapel / Church,st-john-the-baptist-s-manchester
St. Jude's,Pratville,Manchester,-77.45,18.06,Active,Chapel / Church,st-jude-s-manchester
St. Lawrence's,Devon,Manchester,-77.59,18.13,Active,Chapel / Church,st-lawrence-s-manchester
St. Mark's (Parish Church),Mandeville,Manchester,-77.51,18.04,Active,Parish Church (Church),st-mark-s-parish-church-manchester
St. Mark's Church,Williamsfield,Manchester,-77.47,18.07,Active,Church,st-mark-s-church-manchester
St. Matthew's Church,Alligator Pond,Manchester,-77.56,17.87,Active,Church,st-matthew-s-church-manchester
St. Michael and All Angels,New Forest,Manchester,-77.56629,17.90598,Active,Chapel / Church,st-michael-and-all-angels-manchester
St. Patrick's,Providence,Manchester,-77.58,18.07,Active,Chapel / Church,st-patrick-s-manchester
St. Paul's,Spalding,Manchester,-77.55,18.19,Active,Chapel / Church,st-paul-s-manchester
St. Paul's Church,Mile Gully,Manchester,-77.57,18.17,Active,Church,st-paul-s-church-manchester
St. Philip's,Old England,Manchester,-77.57,18.01,Active,Chapel / Church,st-philip-s-manchester
St. Simon's,Comfort Hall,Manchester,-77.46,18.08,Active,Chapel / Church,st-simon-s-manchester
All Saints',Fellowship,Portland,-76.42,18.02,Active,Chapel / Church,all-saints-portland
Birnam Wood,Birnam Wood,Portland,-76.53,18.05,Unknown,Church,birnam-wood-portland
Boston,Boston,Portland,-76.33683,18.13316,Unknown,Church,boston-portland
Boundbrook Chapel-of-Ease,Boundbrook,Portland,-76.46,18.18,Active,Chapel / Church,boundbrook-chapel-of-ease-portland
Buff Bay,Buff Bay,Portland,-76.66,18.23,Unknown,Church,buff-bay-portland
Bybrook,Bybrook,Portland,-76.57,18.14,Unknown,Mission Station,bybrook-portland
Christ Church (Parish Church),Port Antonio,Portland,-76.46,18.18,Active,Parish Church (Church),christ-church-parish-church-portland
Claverty Cottage,Claverty Cottage,Portland,-76.54,18.13,Unknown,Mission Station,claverty-cottage-portland
Cooper's Hill,Cooper's Hill,Portland,-76.6,18.11,Unknown,Mission Station,cooper-s-hill-portland
Fairfield,Fairfield,Portland,-76.58,18.06,Unknown,Mission Station,fairfield-portland
Hope Bay,Hope Bay,Portland,-76.56736,18.20064,Unknown,Church,hope-bay-portland
John's Hall,John's Hall,Portland,-76.6,18.17,Unknown,Mission Station,john-s-hall-portland
Moore Town,Moore Town,Portland,-76.45,18.07,Unknown,Mission Station,moore-town-portland
Port Antonio,Port Antonio,Portland,-76.45,18.18,Unknown,Church,port-antonio-portland
Rural Hill,Rural Hill,Portland,-76.32,18.06,Unknown,Church,rural-hill-portland
St. Christopher's,Sherwood Forest,Portland,-76.33,18.13,Active,Chapel / Church,st-christopher-s-portland
St. Dunstan's,Orange Bay,Portland,-76.53,18.07,Active,Chapel / Church,st-dunstan-s-portland
St. George's,Buff Bay,Portland,-76.66,18.19,Active,Chapel / Church,st-george-s-portland
St. James',Birnamwood,Portland,-76.7,18.17,Active,Chapel / Church,st-james-portland
St. John's,Windsor Forest,Portland,-76.52,18.14,Active,Chapel / Church,st-john-s-portland
St. Joseph's,Belvedere,Portland,-76.47,18.18,Active,Chapel / Church,st-joseph-s-portland
St. Jude's,Bourbon,Portland,-76.6,18.18,Active,Chapel / Church,st-jude-s-portland
St. Luke's,Comfort Castle,Portland,-76.4,18.05,Active,Chapel / Church,st-luke-s-portland
St. Margaret's Bay,St. Margaret's Bay,Portland,-76.54,18.19,Unknown,Church,st-margaret-s-bay-portland
St. Mark's,Boston,Portland,-76.35612,18.1629,Active,Chapel / Church,st-mark-s-portland
St. Mary's,Rural Hill,Portland,-76.45,18.07,Active,Chapel / Church,st-mary-s-portland
St. Matthew's,Mount Herman,Portland,-76.68,18.1,Active,Chapel / Church,st-matthew-s-portland
St. Michael's,Fruitful Vale,Portland,-76.45,18.07,Active,Chapel / Church,st-michael-s-portland
St. Paul's,Moore Town,Portland,-76.45,18.02,Active,Chapel / Church,st-paul-s-portland
St. Peter's Chapel (Ruin),Nonsuch,Portland,-76.37788,18.14692,Ruin,Chapel,st-peter-s-chapel-ruin-portland
St. Philip's,Bangor Ridge,Portland,-76.57,18.18,Active,Chapel / Church,st-philip-s-portland
St. Stephen's Church,Port Antonio,Portland,-76.45,18.14,Active,Church,st-stephen-s-church-portland
St. Thomas',Manchioneal,Portland,-76.27999,18.03624,Active,Chapel / Church,st-thomas-portland
August Town,August Town,St. Andrew,-76.74,18,Unknown,Mission Station,august-town-st-andrew
Brandon Hill,Brandon Hill,St. Andrew,-76.82,18.01,Unknown,Church,brandon-hill-st-andrew
Church of Ascension,Mona,St. Andrew,-76.74,18.01,Active,Chapel / Church,church-of-ascension-st-andrew
Church of the Good Shepherd,Constant Spring,St. Andrew,-76.8,18.04,Active,Chapel / Church,church-of-the-good-shepherd-st-andrew
Church of the Resurrection,Duhaney Park,St. Andrew,-76.84,17.99,Active,Chapel / Church,church-of-the-resurrection-st-andrew
Church of the Transfiguration,Havendale,St. Andrew,-76.82,18.03,Active,Chapel / Church,church-of-the-transfiguration-st-andrew
Clifton,Clifton,St. Andrew,-76.77,18.03,Unknown,Church,clifton-st-andrew
Craigton,Craigton,St. Andrew,-76.77,18.07,Unknown,Church,craigton-st-andrew
Hunt's Bay,Hunt's Bay,St. Andrew,-76.85,17.99,Unknown,Mission Station,hunt-s-bay-st-andrew
Mavis Bank,Mavis Bank,St. Andrew,-76.67,18.02,Unknown,Church,mavis-bank-st-andrew
Mount James,Mount James,St. Andrew,-76.79,18.12,Unknown,Church,mount-james-st-andrew
St. Andrew (Parish Church),Half Way Tree,St. Andrew,-76.78,18.02,Active,Parish Church (Church),st-andrew-parish-church-st-andrew
St. Andrew Parish Church,Half-Way-Tree,St. Andrew,-76.78,18,Active,Parish Church,st-andrew-parish-church-st-andrew-2
St. Augustine's Church,August Town,St. Andrew,-76.74,18.04,Active,Church,st-augustine-s-church-st-andrew
St. Barnabas,Kencot,St. Andrew,-76.8,18.01,Unknown,Mission Station,st-barnabas-st-andrew
St. Bartholomew's,Tom's River,St. Andrew,-76.79,18.11,Active,Chapel / Church,st-bartholomew-s-st-andrew
St. Christopher's,Cavaliers,St. Andrew,-76.85,18.06,Active,Chapel / Church,st-christopher-s-st-andrew
St. Christopher's Church,Woodford,St. Andrew,-76.43,18.04,Active,Church,st-christopher-s-church-st-andrew
St. Clement's,Kencot,St. Andrew,-76.81,18,Active,Chapel / Church,st-clement-s-st-andrew
St. Clement's Mission,Kencot,St. Andrew,-76.8,18.01,Active,Mission Station,st-clement-s-mission-st-andrew
St. Cyprians,August Town,St. Andrew,-76.74,18.02,Active,Chapel / Church,st-cyprians-st-andrew
St. James',Mount James,St. Andrew,-76.85,18.08,Active,Chapel / Church,st-james-st-andrew
St. John's,Merrivale,St. Andrew,-76.82,18.05,Active,Chapel / Church,st-john-s-st-andrew
St. Joseph's,The Grove,St. Andrew,-76.76,18.02,Active,Chapel / Church,st-joseph-s-st-andrew
St. Jude's,Stony Hill,St. Andrew,-76.83,18.08,Active,Chapel / Church,st-jude-s-st-andrew
St. Luke's,Cross Roads,St. Andrew,-76.79,18,Active,Chapel / Church,st-luke-s-st-andrew
St. Luke's Church,Cross Roads,St. Andrew,-76.79,18.01,Active,Church,st-luke-s-church-st-andrew
St. Margaret's,Liguanea,St. Andrew,-76.76,18.02,Active,Chapel / Church,st-margaret-s-st-andrew
St. Margaret's Church,Liguanea,St. Andrew,-76.75,18.02,Active,Church,st-margaret-s-church-st-andrew
St. Margaret's Mission,Mavis Bank,St. Andrew,-76.67,18.03,Active,Mission Station,st-margaret-s-mission-st-andrew
St. Mark's,Craigton,St. Andrew,-76.7,18.07,Active,Chapel / Church,st-mark-s-st-andrew
St. Martin's,Padmore,St. Andrew,-76.84,18.09,Active,Chapel / Church,st-martin-s-st-andrew
St. Martin-in-the-Fields,Irish Town,St. Andrew,-76.66,18.08,Active,Chapel,st-martin-in-the-fields-st-andrew
St. Mary the Virgin,Maverley,St. Andrew,-76.83,18,Active,Chapel / Church,st-mary-the-virgin-st-andrew
St. Mary's,Woodford,St. Andrew,-76.71,18.08,Active,Chapel / Church,st-mary-s-st-andrew
St. Mary's Chapel,Lawrencefield,St. Andrew,-76.75,18.05,Active,Chapel,st-mary-s-chapel-st-andrew
St. Matthew's,Jack's Hill,St. Andrew,-76.77,18.05,Active,Chapel / Church,st-matthew-s-st-andrew
St. Michael's,Mavis Bank,St. Andrew,-76.68,18.07,Active,Chapel / Church,st-michael-s-st-andrew
St. Paul's,Tower Hill,St. Andrew,-76.84,18.03,Active,Chapel / Church,st-paul-s-st-andrew
St. Peter's,Clifton,St. Andrew,-76.8,18.08,Active,Chapel / Church,st-peter-s-st-andrew
St. Philip's,Whitfield Town,St. Andrew,-76.8,17.98,Active,Chapel / Church,st-philip-s-st-andrew
St. Stephen's,Maryland,St. Andrew,-76.78,18.12,Active,Chapel / Church,st-stephen-s-st-andrew
St. Thomas Mission,Majesty Gardens,St. Andrew,-76.82,17.99,Active,Mission / Mission Station,st-thomas-mission-st-andrew
Stony Hill (St. Jude's),Stony Hill,St. Andrew,-76.79,18.09,Active,Church,stony-hill-st-jude-s-st-andrew
Swallowfield,Swallowfield,St. Andrew,-76.78,17.99,Unknown,Mission Station,swallowfield-st-andrew
The Grove,Constant Spring / The Grove,St. Andrew,-76.79,18.05,Unknown,Church,the-grove-st-andrew
Woodford,Woodford,St. Andrew,-76.68,18.04,Unknown,Church,woodford-st-andrew
All Saints Church,All Saints Road,St. Ann,-77.1,18.43,Active,Church,all-saints-church-st-ann
Christ Church,Moneague,St. Ann,-77.2,18.17,Active,Chapel / Church,christ-church-st-ann
St. Andrew's,Bamboo,St. Ann,-77.3,18.36,Active,Chapel / Church,st-andrew-s-st-ann
St. Ann Parish Church,St. Ann's Bay,St. Ann,-77.2,18.41,Active,Parish Church (Church),st-ann-parish-church-st-ann
St. Barnabas',Madras,St. Ann,-77.4,18.33,Active,Chapel / Church,st-barnabas-st-ann
St. David's,Brittonville,St. Ann,-77.28,18.19,Active,Chapel / Church,st-david-s-st-ann
St. James',Gibraltar,St. Ann,-77.34,18.34,Active,Chapel / Church,st-james-st-ann
St. John's,Ocho Rios,St. Ann,-77.1,18.41,Active,Chapel / Church,st-john-s-st-ann
St. John's Church,Brown's Town,St. Ann,-77.35,18.38,Active,Church,st-john-s-church-st-ann
St. John's Mission,Chalky Hill,St. Ann,-77.14,18.39,Active,Mission Station,st-john-s-mission-st-ann
St. Luke's,Aboukir,St. Ann,-77.36,18.34,Active,Chapel / Church,st-luke-s-st-ann
St. Mark's,Brown's Town,St. Ann,-77.34,18.32,Active,Chapel / Church,st-mark-s-st-ann
St. Mark's Church,Main Street,St. Ann,-77.1,18.41,Active,Church,st-mark-s-church-st-ann
St. Mary's Mission,Aboukir,St. Ann,-77.18,18.39,Active,Mission Station,st-mary-s-mission-st-ann
